"","gene","log2fc","pval","avg_expr","celltype"
"228","Gm15964",5.53334705082819,0,-0.399826932679425,"Immune_cells"
"229","Gm20429",4.84159732245281,0,-1.03428411098333,"Immune_cells"
"230","Gm20513",6.65705492955404,0,-0.689336963806048,"Immune_cells"
"231","Gm2245",6.94521408614902,0,-0.458291606485209,"Immune_cells"
"232","Gm2629",7.27723656221915,0,-0.464429244417341,"Immune_cells"
"233","Gm26740",6.828592837642,0,1.0667468754262,"Immune_cells"
"234","Gm2848",5.6583894079463,0,-1.09242817706325,"Immune_cells"
"235","Gm29094",4.81491279364,0,-1.16659394811153,"Immune_cells"
"236","Gm34589",5.5187951439481,0,-0.971717289456957,"Immune_cells"
"237","Gm35154",7.6004420820065,0,-0.545977585788926,"Immune_cells"
"238","Gm39816",6.08819527671792,0,-0.37311065265968,"Immune_cells"
"239","Gm40645",6.32541007540742,0,-0.505433474226089,"Immune_cells"
"240","Gm46224",8.08060785665463,0,-0.784638888398899,"Immune_cells"
"241","Gm47754",5.46947686473989,0,-1.05321371218538,"Immune_cells"
"242","Gm48065",4.94102490617421,0,-1.19554010109752,"Immune_cells"
"243","Gm53692",5.54674502957308,0,-1.12085651456194,"Immune_cells"
"244","Gm5547",5.84820003518866,0,-0.686058432723731,"Immune_cells"
"245","Gm56663",6.76070816382834,0,-0.962703205976769,"Immune_cells"
"246","Gm6377",6.50870503770854,0,-0.834419430508801,"Immune_cells"
"247","Gm67564",4.86865754527294,0,-1.02930183929939,"Immune_cells"
"248","Gmip",4.15198243436921,0,3.09291262668141,"Immune_cells"
"249","Gna15",6.32982557605998,0,-0.142577040815179,"Immune_cells"
"250","Gpr132",7.24301148435143,0,-0.249399936117065,"Immune_cells"
"251","Gpr183",8.03990392367677,0,0.547230983882584,"Immune_cells"
"252","Gpr34",7.94189835561072,0,0.344434029308508,"Immune_cells"
"253","Gpr65",8.79306166996846,0,-0.380169164480387,"Immune_cells"
"254","Gpr84",5.86706167241538,0,-0.720431741198222,"Immune_cells"
"255","Gpsm3",5.70344894747036,0,0.681384312764044,"Immune_cells"
"256","Grn",3.92663543190278,0,4.37373663562513,"Immune_cells"
"257","Gsap",4.14545948398835,0,3.7795763433083,"Immune_cells"
"258","Gusb",3.16387960348269,0,4.21200013188083,"Immune_cells"
"259","H2-Aa",7.67082505958691,0,2.81810307167535,"Immune_cells"
"260","H2-Ab1",7.73929449620472,0,2.75749940517228,"Immune_cells"
"261","H2-DMa",4.11124134555848,0,4.68427121682492,"Immune_cells"
"262","H2-DMb1",6.06237514131504,0,1.3735331460075,"Immune_cells"
"263","H2-Eb1",8.05531822030957,0,2.43420001561469,"Immune_cells"
"264","H2-M2",7.19444243436253,0,-0.829097753396218,"Immune_cells"
"265","H2-Oa",6.05862002683854,0,-0.918307533812164,"Immune_cells"
"266","H2-Ob",5.93252409491671,0,-0.806932174813804,"Immune_cells"
"267","Havcr2",8.03851068911234,0,-0.0779824217301271,"Immune_cells"
"268","Hcar2",6.19830634091824,0,-0.927003288920106,"Immune_cells"
"269","Hck",8.12518394696313,0,0.614857711003552,"Immune_cells"
"270","Hcls1",7.19245940667501,0,0.512917594726597,"Immune_cells"
"271","Hcst",6.02102576609155,0,0.209739008280334,"Immune_cells"
"272","Hexb",4.1313834069354,0,6.02133510419182,"Immune_cells"
"273","Hk3",5.87332382794333,0,0.0658345446542328,"Immune_cells"
"274","Hmga2-ps1",6.08234433194453,0,-0.602319801532465,"Immune_cells"
"275","Hpgds",7.1360393172542,0,1.7971672984506,"Immune_cells"
"276","Hvcn1",6.19002409507486,0,0.167979240722678,"Immune_cells"
"277","I830077J02Rik",6.6939625349383,0,-0.572299704941223,"Immune_cells"
"278","Icosl",5.09043524221841,0,0.954204537592742,"Immune_cells"
"279","Ifi207",8.74615823150347,0,-0.0534720780925537,"Immune_cells"
"280","Ifi209",6.93024704939379,0,-0.82717813657999,"Immune_cells"
"281","Ifi30",3.96036731820936,0,3.62622644043791,"Immune_cells"
"282","Ifngr2",3.73339907216216,0,3.77313545584284,"Immune_cells"
"283","Ighm",7.31732176958291,0,-0.16446314659944,"Immune_cells"
"284","Igsf6",7.16551547280834,0,0.563785696986971,"Immune_cells"
"285","Ikzf1",8.17306133979909,0,0.412385917939327,"Immune_cells"
"286","Il10ra",8.79728822572286,0,-0.266325308580882,"Immune_cells"
"287","Il12b",5.83197474798717,0,-1.11354290337487,"Immune_cells"
"288","Il1b",9.48983505945134,0,0.355399378336124,"Immune_cells"
"289","Il21r",7.71295038881152,0,-0.506983283322047,"Immune_cells"
"290","Il2rb",5.89990661127873,0,-0.717122456777427,"Immune_cells"
"291","Inpp5d",8.10840096943317,0,1.53889700172718,"Immune_cells"
"292","Irag2",6.82079740740902,0,-0.260480803430287,"Immune_cells"
"293","Irak2",4.5231234836046,0,4.20737666397245,"Immune_cells"
"294","Irf5",7.32179584961429,0,0.427489397392237,"Immune_cells"
"295","Itga4",6.09348759580039,0,1.5279988589007,"Immune_cells"
"296","Itgam",7.53274775567157,0,-0.784910253317882,"Immune_cells"
"297","Itgax",7.57969234596084,0,-0.696269679305763,"Immune_cells"
"298","Itgb2",7.70261880642944,0,-0.202526213875872,"Immune_cells"
"299","Kcnk13",7.69883308378884,0,0.251758300733766,"Immune_cells"
"300","Klra2",7.80774393741375,0,-0.184202573268029,"Immune_cells"
"301","Klrd1",6.38613239303052,0,-0.787209011475875,"Immune_cells"
"302","Klrk1",6.37813756108213,0,-0.634646809203827,"Immune_cells"
"303","Lacc1",6.12632071352226,0,1.49383713487545,"Immune_cells"
"304","Lair1",8.04947715310661,0,0.937786596643903,"Immune_cells"
"305","Laptm5",9.04205941340887,0,0.595742829370525,"Immune_cells"
"306","Lat2",5.90561224980498,0,0.955990175966412,"Immune_cells"
"307","Lcp1",7.91459459428737,0,1.91245588887189,"Immune_cells"
"308","Lcp2",7.9680651759776,0,0.116265391635472,"Immune_cells"
"309","Lgmn",4.6234180363844,0,5.26917548658396,"Immune_cells"
"310","Lilra5",8.25304127837443,0,-0.610507787134209,"Immune_cells"
"311","Lilrb4a",7.96603395068362,0,-0.83749237523116,"Immune_cells"
"312","Lilrb4b",8.32925550682152,0,-0.628857221134472,"Immune_cells"
"313","Lipa",4.31612549859251,0,3.13824088438117,"Immune_cells"
"314","Lpcat2",6.18789015761514,0,2.99951983943047,"Immune_cells"
"315","Lpxn",5.62624381313594,0,2.38347991381124,"Immune_cells"
"316","Lrrc25",8.06136999343663,0,-0.612311704286309,"Immune_cells"
"317","Lsp1",5.40704394895692,0,1.66523943059495,"Immune_cells"
"318","Lst1",6.16069814291682,0,2.10541227210139,"Immune_cells"
"319","Ltc4s",7.21632823465538,0,-0.266195261952631,"Immune_cells"
"320","Ly86",9.29318969968288,0,0.724222951796758,"Immune_cells"
"321","Ly9",6.8669697708847,0,-0.876806396178457,"Immune_cells"
"322","Lyl1",6.09625170424826,0,-0.224811593725077,"Immune_cells"
